Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
79354,-0.899427,0.309867,1.260686,0.383527,1.017502,-0.848251,0.167444,-0.130771,-0.329661,0.302594,1.23233,0.181285,-0.33562,-0.311597,0.667182,0.328971,-0.2127,0.572103,1.033659,0.117416,-0.257443,-0.475416,-0.141641,-0.026239,-0.733621,0.076799,0.186727,-0.04659,5.38,0
156656,-0.320156,1.509777,-1.345421,-0.419852,0.913018,-0.743332,0.648321,0.134979,-0.046436,-0.79755,-1.439267,-0.10608,0.804056,-0.771466,0.71807,0.337476,0.233414,0.892453,0.122231,-0.052777,0.281553,0.880967,-0.26368,-1.114501,-0.179427,-0.096505,-0.006128,0.11873,2.69,0
75117,-0.367588,0.852956,0.158222,0.070823,-0.234907,-0.859599,0.568217,0.319239,-0.365938,-0.557021,-1.442837,-1.201959,-1.972043,1.010922,0.745732,0.304633,-0.207328,0.152597,0.14765,-0.208832,0.058315,-0.141432,0.053413,-0.153534,-0.18951,0.297752,-0.155173,-0.040689,56.8,0
80335,0.710216,-0.356758,0.472444,1.608109,-0.555593,-0.45399,0.42138,-0.168853,-0.038821,-0.219666,0.281292,1.224849,0.957141,0.031442,0.261875,-0.639413,0.226579,-1.176593,-0.763912,0.313184,0.034081,-0.189349,-0.124708,0.632369,0.401281,-0.479725,0.007151,0.065972,225.4,0
158829,2.294983,-1.310617,-0.990808,-1.68815,-0.856957,-0.140876,-1.064796,-0.133421,-1.245709,1.453685,-1.265357,-0.328635,1.395362,-0.691796,-0.34807,-0.451803,0.354398,-0.602167,0.28425,-0.32594,-0.665113,-1.454341,0.504767,0.100693,-0.527089,-0.66403,0.021809,-0.034252,26.85,0
131943,2.066872,0.092894,-1.708979,0.435256,0.325606,-0.91788,0.135796,-0.194079,0.612179,-0.356069,-0.674625,-0.266589,-0.738274,-0.683148,0.290661,0.344679,0.530972,-0.219933,0.045117,-0.202547,-0.369997,-1.005401,0.350999,0.54639,-0.290437,0.172016,-0.068382,-0.031359,4.49,0
31356,0.782345,-0.277746,0.075222,1.394549,-0.154961,-0.107319,0.425919,-0.046868,-0.335675,0.016359,1.566468,1.479669,0.361008,0.409681,-0.516925,-0.53609,-0.038704,-0.494818,-0.338638,0.220167,0.176689,0.277552,-0.275322,0.265948,0.661247,-0.28273,-0.008857,0.035718,188.48,0
105625,-0.912628,0.108692,2.022717,-0.695412,0.110455,0.436814,0.751582,-0.088236,1.229911,-1.149001,1.860576,-2.082167,1.669531,1.310158,-0.376579,0.231545,-0.131357,1.236314,0.181413,0.424937,0.148672,0.538489,-0.111663,0.727308,0.534552,0.151186,-0.208413,-0.155528,147.93,0
125217,0.406054,0.201166,-0.169897,-1.52663,0.311302,-0.677454,0.545207,-0.242024,-1.32861,0.310799,-1.270478,-0.448678,0.557332,0.065223,0.064513,-1.349903,-0.450481,1.253731,-1.13153,-0.52179,-0.100608,0.19891,-0.104399,0.606127,-0.216863,0.691049,-0.027662,-0.007797,9,0
66938,-1.919673,2.139709,-2.219134,0.212075,0.40008,5.307919,-1.992063,-3.578978,-1.042428,-1.448221,-1.064916,0.691237,-0.502726,1.453951,-0.236995,0.242617,0.269487,0.307033,0.704687,1.052269,-2.622357,0.599418,0.416328,0.98127,0.015641,-0.342727,0.049144,-0.045668,226.98,0
48296,1.445671,-0.588889,-0.388084,-0.826259,-0.372105,-0.103238,-0.420747,-0.017452,-0.823186,0.824533,-0.257984,-0.273357,-0.751976,0.350006,-0.547285,-1.213368,-0.301917,1.595395,0.273025,-0.519264,-0.486509,-0.871227,-0.148969,-0.818954,0.524714,1.150565,-0.080585,-0.026423,6,0
125891,2.358776,-1.224138,-1.460997,-1.604477,-0.774832,-0.801475,-0.708578,-0.349736,-1.356942,1.555486,-1.651199,-0.841574,0.611667,-0.366211,-0.618596,-0.698005,0.426503,-0.351995,0.41592,-0.417424,-0.437879,-0.72487,0.210471,-0.750717,-0.081917,-0.282587,-0.006804,-0.0619,19,0
19900,1.338104,-0.587704,0.720601,-0.302992,-1.201888,-0.597025,-0.841171,-0.032101,0.788075,0.33167,1.987295,-2.857783,0.108824,1.465351,-1.782326,0.752535,1.318502,-0.888597,0.958619,-0.085844,-0.123523,-0.124229,0.009204,0.474409,0.428037,-0.308517,-0.025959,-0.0043,10,0
63677,-1.595703,1.655247,0.936287,-0.084796,-0.485958,-1.334654,0.73929,-0.318693,0.521617,1.075048,-0.162475,-0.602968,-1.345354,0.140185,0.835877,-0.212515,-0.156689,-0.251303,-0.304873,0.117483,0.132716,0.312712,0.024688,0.9041,-0.377537,0.205232,-0.286024,0.388039,10.16,0
